"V1" "V2"
"104793" 1 1
"104794" 2 7
"104795" 3 6
"104796" 4 7
"104797" 5 3
"104798" 6 3
"104799" 7 3
"104800" 8 1
"104801" 9 7
"104802" 10 3
"104803" 11 1
"104804" 12 3
"104805" 13 3
"104806" 14 3
"104807" 15 3
"104808" 16 1
"104809" 17 3
"104810" 18 5
"104811" 19 1
"104812" 20 7
"104813" 21 4
"104814" 22 7
"104815" 23 4
"104817" 24 7
"104818" 25 2
"104819" 26 5
"104820" 27 5
"104821" 28 2
"104822" 29 2
"104823" 30 2
"104826" 31 3
"104827" 32 3
"104829" 33 4
"104830" 34 4
"104831" 35 4
"104832" 36 5
"104833" 37 7
"104834" 38 4
"104835" 39 6
"104836" 40 6
"104837" 41 7
"104838" 42 5
"104839" 43 6
"104840" 44 6
"104841" 45 7
"104842" 46 7
"104843" 47 7
